연번,호선,역번호,역명,광고시설물명,광고시설물 수량,광고대행사,데이터기준일자
160,1,156,신설동(1),제2기 교통카드 RF단말기 광고,49,서울신교통카드,2024-11-28
161,1,157,제기동,역구내조명광고,0,브랜드발전소,2024-11-28
162,1,157,제기동,역구내포스터,3,브랜드발전소,2024-11-28
163,1,157,제기동,멀티비젼,0,나스미디어,2024-11-28
164,1,157,제기동,디지털포스터,0,브랜드발전소,2024-11-28
165,1,157,제기동,기둥조명,0,전홍,2024-11-28
166,1,157,제기동,승강장안전문 조명(민자제외),3,에스엘엠엔씨,2024-11-28
167,1,157,제기동,승강장매립형,0,,2024-11-28
168,1,157,제기동,공간활용 프로모션,0,전홍,2024-11-28
169,1,157,제기동,승강장음성광고,0,양진텔레콤,2024-11-28
170,1,157,제기동,디지털종합안내도_디지털,7,싸인텔레콤,2024-11-28
171,1,157,제기동,디지털종합안내도_인쇄식,5,싸인텔레콤,2024-11-28
172,1,157,제기동,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
173,1,157,제기동,스마트 정보 안내시스템,0,,2024-11-28
174,1,157,제기동,디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
175,1,157,제기동,지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
176,1,157,제기동,승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
177,1,157,제기동,승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
178,1,157,제기동,승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
179,1,157,제기동,역구내행선안내게시기,0,,2024-11-28
180,1,157,제기동,제2기 교통카드 RF단말기 광고,24,서울신교통카드,2024-11-28
181,1,158,청량리(1),역구내조명광고,2,브랜드발전소,2024-11-28
182,1,158,청량리(1),역구내포스터,8,브랜드발전소,2024-11-28
183,1,158,청량리(1),멀티비젼,0,나스미디어,2024-11-28
184,1,158,청량리(1),디지털포스터,0,브랜드발전소,2024-11-28
185,1,158,청량리(1),기둥조명,0,전홍,2024-11-28
186,1,158,청량리(1),승강장안전문 조명(민자제외),6,에스엘엠엔씨,2024-11-28
187,1,158,청량리(1),승강장매립형,0,,2024-11-28
188,1,158,청량리(1),공간활용 프로모션,0,전홍,2024-11-28
189,1,158,청량리(1),승강장음성광고,0,양진텔레콤,2024-11-28
190,1,158,청량리(1),디지털종합안내도_디지털,8,싸인텔레콤,2024-11-28
191,1,158,청량리(1),디지털종합안내도_인쇄식,0,싸인텔레콤,2024-11-28
192,1,158,청량리(1),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
193,1,158,청량리(1),스마트 정보 안내시스템,0,,2024-11-28
194,1,158,청량리(1),디지털보드,0,씨에스와이커뮤니케이션,2024-11-28
195,1,158,청량리(1),지하철 출입구 상단벽면,0,씨제이씨지브이,2024-11-28
196,1,158,청량리(1),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
197,1,158,청량리(1),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
198,1,158,청량리(1),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
199,1,158,청량리(1),역구내행선안내게시기,0,,2024-11-28
200,1,158,청량리(1),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
201,2,201,시청(2),역구내조명광고,7,브랜드발전소,2024-11-28
202,2,201,시청(2),역구내포스터,5,브랜드발전소,2024-11-28
203,2,201,시청(2),멀티비젼,0,나스미디어,2024-11-28
204,2,201,시청(2),디지털포스터,22,브랜드발전소,2024-11-28
205,2,201,시청(2),기둥조명,0,전홍,2024-11-28
206,2,201,시청(2),승강장안전문 조명(민자제외),19,에스엘엠엔씨,2024-11-28
207,2,201,시청(2),승강장매립형,0,,2024-11-28
208,2,201,시청(2),공간활용 프로모션,0,전홍,2024-11-28
209,2,201,시청(2),승강장음성광고,32,양진텔레콤,2024-11-28
210,2,201,시청(2),디지털종합안내도_디지털,0,싸인텔레콤,2024-11-28
211,2,201,시청(2),디지털종합안내도_인쇄식,14,싸인텔레콤,2024-11-28
212,2,201,시청(2),디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
213,2,201,시청(2),스마트 정보 안내시스템,0,,2024-11-28
214,2,201,시청(2),디지털보드,5,씨에스와이커뮤니케이션,2024-11-28
215,2,201,시청(2),지하철 출입구 상단벽면,2,씨제이씨지브이,2024-11-28
216,2,201,시청(2),승강장안전문 광고(민자)_일반형,0,유진메트로컴,2024-11-28
217,2,201,시청(2),승강장안전문 광고(민자)_난간형,0,유진메트로컴,2024-11-28
218,2,201,시청(2),승강장안전문 광고(민자)_동영상,0,유진메트로컴,2024-11-28
219,2,201,시청(2),역구내행선안내게시기,17,비츠로미디어,2024-11-28
220,2,201,시청(2),제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
221,2,202,을지로입구,역구내조명광고,16,브랜드발전소,2024-11-28
222,2,202,을지로입구,역구내포스터,7,브랜드발전소,2024-11-28
223,2,202,을지로입구,멀티비젼,2,나스미디어,2024-11-28
224,2,202,을지로입구,디지털포스터,24,브랜드발전소,2024-11-28
225,2,202,을지로입구,기둥조명,12,전홍,2024-11-28
226,2,202,을지로입구,승강장안전문 조명(민자제외),0,에스엘엠엔씨,2024-11-28
227,2,202,을지로입구,승강장매립형,0,,2024-11-28
228,2,202,을지로입구,공간활용 프로모션,0,전홍,2024-11-28
229,2,202,을지로입구,승강장음성광고,0,양진텔레콤,2024-11-28
230,2,202,을지로입구,디지털종합안내도_디지털,15,싸인텔레콤,2024-11-28
231,2,202,을지로입구,디지털종합안내도_인쇄식,1,싸인텔레콤,2024-11-28
232,2,202,을지로입구,디지털종합안내도_조명,0,싸인텔레콤,2024-11-28
233,2,202,을지로입구,스마트 정보 안내시스템,0,,2024-11-28
234,2,202,을지로입구,디지털보드,7,씨에스와이커뮤니케이션,2024-11-28
235,2,202,을지로입구,지하철 출입구 상단벽면,5,씨제이씨지브이,2024-11-28
236,2,202,을지로입구,승강장안전문 광고(민자)_일반형,114,유진메트로컴,2024-11-28
237,2,202,을지로입구,승강장안전문 광고(민자)_난간형,160,유진메트로컴,2024-11-28
238,2,202,을지로입구,승강장안전문 광고(민자)_동영상,4,유진메트로컴,2024-11-28
239,2,202,을지로입구,역구내행선안내게시기,19,비츠로미디어,2024-11-28
240,2,202,을지로입구,제2기 교통카드 RF단말기 광고,0,서울신교통카드,2024-11-28
